id,document,label
1,2020년 국민신문고 외국어민원 번역서비스 이용안내,4
2,2020년 정책연구 제안주제 선정결과 통보,1
3,사업수행능력평가를 위한 업무중복도 및 제재현황 조회 협조요청,10
4,2020년 1월 감사교육원 사이버교육안내,4
5,2020년 공간정보아카데미 재직자 교육과정 안내,9
6,2020년 보훈특별고용 예고,4
7,2020년 정기 재산변동신고 안내(대상자 공람),12
8,「익산 부송4지구 도시개발사업 타당성 검토용역」착수계 제출,5
9,2020년도 제1기(1월~3월) 법제처 이러닝교육 일정 안내,4
10,2020년 제1기 국가계약관계 법령의 이해과정(기초) 교육 신청안내,4
11,2020년 제1기 지방계약관계 법령의 이해과정(기초) 교육 신청안내,4
12,2020년 제1기 행정법실무과정(기초) 교육 신청안내,4
13,"제안서 평가위원(후보자) 모집 및 등록안내(익산시 원도심 역사,문화,관광자원 발굴 및 루트화 용역)",7
14,"제안서 평가위원(후보자) 모집 및 등록안내(익산시 원도심 역사,문화,관광자원 발굴 및 루트화 용역)",10
15,"제안서 평가위원(후보자) 모집 및 등록안내(익산시 원도심 역사,문화,관광자원 발굴 및 루트화 용역)",13
16,「공공재정환수법」및 「공공재정환수법 시행령」시행(2020.1.1.) 알림,12
17,재해영향평가등의 협의 사전검토 결과 알림(군산 금광지구 행복주택),10
18,2019년 12월 유형별 민원분류기준표 정비결과 알림,4
19,2019년 공기관대행사업비 이자수입 반납 요청(장군목 진입도로),7
20,주택건설사업계획승인 신청에 따른 보완 요구(군산 금광 행복주택),10
21,“잔여지 수용 및 가치하락 등에 관한 참고기준” 알림,9
22,개인정보 보호책임자(CPO) 대상 교육 설문조사 협조 요청,3
23,인계면 농촌중심지활성화사업 공기관 대행사업비 이자수입 반납 요청,7
24,2019년도 지방공공기관 업무시스템 유지관리 업무수행 결과 제출,3
25,2019년 부패방지교육(법정의무교육)실적 제출요청(공직유관단체),12
26,국민신문고 '소극행정신고' 처리현황 자료 요청(이용기관)(공공기관),4
27,보훈특별고용 통지서 송부,4
28,2020년 재산등록 고지거부 심사기준 운영지침 통보,1
29,2019년 제11회 행정심판 재결서 정본 송부(피청구인),4
30,민원 빅데이터 동향「국민의 소리」제547호 알림,4
31,2020년도 1월 전주시 건축위원회(구조전문위원회) 개최 알림,10
32,인계면 농촌중심지활성화사업 시행계획 승인 알림,7
33,"전주대학교, 지역사회 요구도 설문조사 협조 요청",12
34,녹색장터 제품 카탈로그 배포 안내,5
35,교통신기술 우선 적용 및 구매 권고,10
36,교통신기술 우선 적용 및 구매 권고,7
37,교통신기술 우선 적용 및 구매 권고,5
38,2019년도 12월 사이버교육과정 수료자 명단 통보,4
39,2019년 6~7월 사업주 위탁(집체) 훈련비용 환급 일정 변경 안내,4
40,2020년 청렴연수원 교육수요 조사기간 연장 및 협조요청,4
41,2020년 1월 KMA 포럼 참가자 모집 안내,4
42,기관별 2019년 공공구매 실적 및 2020년 추진계획 제출 요청,5
43,서대문구도시관리공단 인권경영선언문 공유,12
44,2019년 건설공사 발주실적 자료 제출 협조 요청 (12월말 기준)-유관기관,5
45,전북개발공사 &#65378;직제규정&#65379; 및 &#65378;보수규정&#65379; 일부개정(안) 승인 통보,1
46,2020년 청렴컨설팅 추진계획 및 신청 안내,12
47,포천도시공사 인권경영 선언문 공유 및 전파,12
48,「전통문화상품·전통주·전통식품」구매 협조 요청,4
49,2019년도 녹색제품 구매실적 수정요청 접수 알림 및 녹색제품 구매 협조 요청(12월),5
50,2020년 설 명절「남도장터」농수축산물 할인 행사 안내,4
51,인천관광공사 2019년 2차 경영 우수사례 공유,1
52,2019년도 제1차 기록물관리 표준 개정 공지,4
53,「익산 부송4지구 도시개발사업 타당성 검토용역」가격협의 회신,5
54,대국민 공공자원 개방·공유 통합포털 1차 시범운영 관련 협조 요청,6
55,2020년도 1월 국가민방위재난안전교육원 입교대상자 추천 및 교육 안내,4
56,경남개발공사 2019년 하반기 경영 우수사례 공유,4
57,2020년도 건설현장 안전점검을 위한 건설공사 현황자료 작성 요청,5
58,지방공공기관 안전관리 관련 안내 및 안전기본계획 작성 제출 요청,4
59,2020년도 지방공사채 발행·운영기준 개정에 따른 의견수렴,5
60,2019년도 12월 중 경영전문교육과정 수료자 명단 통보,4
61,지방공공기관(지방공기업) 인사운영기준 개정(안)에 대한 의견수렴,4
62,군산시 해신동1구역 도시재생활성화계획(안) 검토요청,13
63,「익산 부송4지구 도시개발사업 타당성 검토용역」가격협의 회신,5
64,전주만성지구 주차장용지 활용 협조요청,9
65,하남도시공사 인권경영 선언문 공유 및 확산,12
66,군포도시공사 인권경영 선언문 공유 및 전파,12
67,[타당성 예비검토 결과회신]익산 부송4지구 도시개발사업,2
68,공공임대주택 예비입주자 업무처리지침 관련 정보시스템 협조 요청,11
69,민원 빅데이터 동향「국민의 소리」제546호 알림,4
70,강원도개발공사 인권경영선언문 공유,12
71,지적확정측량용역 사업수행능력평가에 따른 업무충첩도 확인 요청,9
72,새만금 공간정보시스템 활용 안내 및 연계를 위한 수요 조사,7
73,서대문구도시관리공단 2019년 혁신성과 우수사례 전파,1
74,2020년 정기 재산변동신고 교육 일정 안내 및 참석자 명단 제출,1
75,일상감사 의견 통보(군산 금광지구 행복주택 건립사업 감독 권한대행 등 건설사업관리용역),10
76,계약체결 안내-00196186900,5
77,&#65378;도시재생 활성화 및 지원에 관한 특별법&#65379; 일부 개정법률안(김현아의원 대표발의)에 대한 의견 조회,13
78,창원경륜공단 경영 우수사례 전파,1
79,공공임대주택 예비입주자 업무처리지침 관련 정보시스템 협조 요청,11
80,수정계약 체결 안내-35193050201,5
81,「지방공기업법 시행령」 개정 수요조사,1
82,2019년 6~7월 사업주 위탁(집체) 훈련비용 환급 예정 안내,4
83,결격사유조회 회보,4
84,「도시재생 활성화 및 지원에 관한 특별법」일부 개정법률안(김현아의원 대표발의)에 대한 의견조회,13
85,대전지방국토관리청 기술자문위원회 후보자 등록 협조 요청,10
86,대전지방국토관리청 기술자문위원회 후보자 등록 협조 요청,7
87,새만금 수상태양광 기본설계 설명회 안내,8
88,토지사용승낙 요청(전주시 덕진구 만성동 1370-2번지),9
89,새만금 수상태양광 기본설계 설명회 참석 요청,8
90,공공임대주택 관련 금융거래 제공사실('19.9~'19.11) 통보비용 관련 협조요청,11
91,「지방자치단체를 당사자로 하는 계약에 관한 법률」일부개정 법률(안)에 대한 의견조회,5
92,전라북도 수소충전소 구축사업 참여요청,8
93,「2020 대한민국 일자리  엑스포」 개최 안내 및 참여 협조 요청,4
94,2019사업연도 지방공기업 결산대상기관 현황 조사,5
95,청렴연수원 소식지「청렴레터」송부,12
96,차세대 국민신문고 시스템 교육 참석자명단 송부,4
97,2020년 공공부문 노동정책 쟁점이슈와 대응방안 개설안내,4
98,장애인 고용계획 및 실시상황 보고서 제출 요청(공공기관),4
99,2019년도 전북개발공사 평가급 지급률 결정 알림,4
100,2019년도 전북개발공사 평가급 지급률 결정 알림,1
101,2019년 공공부문 근로자 정기실태조사 등 실시 및 설명회 참석 안내,4
102,자치구 수영장 체온조절실 운영현황 조사자료 배포,4
103,2020년 상반기 시중노임단가 안내 및 준수 철저,13
104,2020년 상반기 시중노임단가 안내 및 준수 철저,12
105,2020년 상반기 시중노임단가 안내 및 준수 철저,11
106,2020년 상반기 시중노임단가 안내 및 준수 철저,10
107,2020년 상반기 시중노임단가 안내 및 준수 철저,9
108,2020년 상반기 시중노임단가 안내 및 준수 철저,8
109,2020년 상반기 시중노임단가 안내 및 준수 철저,7
110,2020년 상반기 시중노임단가 안내 및 준수 철저,6
111,2020년 상반기 시중노임단가 안내 및 준수 철저,5
112,2020년 상반기 시중노임단가 안내 및 준수 철저,4
113,2020년 상반기 시중노임단가 안내 및 준수 철저,2
114,2020년 상반기 시중노임단가 안내 및 준수 철저,1
115,인계면 농촌중심지활성화사업 공과금 고지서 송부(12월),7
116,2019년 연가보상비 지급관련한 파견근무자 연가 사용일수 통보 협조 요청,4
117,군산 금광지구 공공주택건설사업 소규모재해영향평가 사전검토 절차 이행 안내,7
118,2019사업연도 지방공기업 결산 지원 안내,5
119,지방공공기관 채용대행 설문조사 협조 요청,4
120,2019년「지방공공기관 교육담당자 워크숍」대상자 확정 통보,4
121,새만금 수상태양광 지역주도형사업 기관별 사업위치 결정 및 비용분담 방안 확정 통보,8
122,2019 각급기관 홍보담당관 청탁금지법 워크숍 참석자 명단 알림,4
123,2020년도 물품 및 용역 구매계획 나라장터 등록 요청,5
124,2019년 하반기 지방공기업 재정 신속집행 관련 추경예산 및 추진 불가사업 조사,1
125,군산 창성지구 보상여부 조회 요청에 대한 회신,9
126,공적임대주택 관련 집행실적 자료 협조 요청(11월말),5
127,대형공사 입찰방법 사전협의 및 기술심의 대상 사업현황 제출,2
128,인계면 농촌중심지활성화사업 건축허가(신고) 신청 보완사항 알림,7
129,김해시도시개발공사 혁신 우수사례 전파,1
130,혁신도시관련 국민신문고 접수에 따른 협조요청,4
131,전라북도국제교류센터 청년인턴 채용 서류전형 심사위원 참석 요청,4
132,통영시 중앙지구 새뜰마을 조성사업 마스터플랜 수립 및 실시설계용역 제안서 평가위원 공개모집 연장 공고,13
133,통영시 중앙지구 새뜰마을 조성사업 마스터플랜 수립 및 실시설계용역 제안서 평가위원 공개모집 연장 공고,7
134,2019년도 폭력예방교육 실시 및 실적 입력 안내(2차),4
135,2020년도 공기업·출연기관장 경영성과 목표 제출,1
136,&#65378;전북형 도시재생 뉴딜사업&#65379; 시행 알림 및 활성화계획(안) 자문 등 협조 요청,13
137,지방공공기관 안전관리 관련 안내 및 안전기본계획 작성 제출,4
138,진흥원 청사 내 근무환경 개선 협조 요청,6
139,「민간위탁 노동자 근로조건 보호 가이드라인」 설명회 참석 안내,4
140,민간위탁 사무 타당성 검토 결과 제출 안내,4
141,2020년도 재해복구 및 영조물배상공제 정기등록 신청안내,6
142,정부24 공공서비스 현행화 및 전달교육 실시결과 제출 요청,3
143,중심시가지형·일반근린형 뉴딜사업 활성화계획 수립 및 사업시행 가이드라인 개정 알림,13
144,'20년 상반기 시중노임단가 안내 및 준수 철저,5
145,2020년도 건설현장 점검을 위한 건설공사 현황자료 협조 요청,10
